Label,lumMean,lumSD,area,lwMean,lwSD,mwMean,mwSD,swMean,swSD
keimoes1_bromfeldii.insularis_XV/2349_2352_b12,0.280263909,0.053126659,352.9965676,0.297247848,0.054779336,0.263279971,0.051694538,0.182333044,0.038803369
keimoes1_bromfeldii.insularis_XV/2349_2352_b13,0.19727549,0.044265572,16.71630155,0.208980052,0.045913548,0.185570928,0.042842989,0.117482456,0.031768407
keimoes1_bromfeldii.insularis_XV/2349_2352_b14,0.162132139,0.028594499,1.565673717,0.180750431,0.030244343,0.143513847,0.027112028,0.090181394,0.018867776
keimoes1_bromfeldii.insularis_XV/2349_2352_b15,0.237784133,0.070655429,16.80609514,0.245673379,0.072397043,0.229894888,0.069032699,0.182859496,0.053039788
keimoes1_bromfeldii.insularis_XV/2349_2352_b16,0.153311463,0.037117444,13.55719973,0.167044127,0.039159149,0.1395788,0.035363717,0.09584577,0.024567632
keimoes1_bromfeldii.insularis_XV/2349_2352_b17,0.162862178,0.038147152,22.06473439,0.17450828,0.03952192,0.151216075,0.037010894,0.102399348,0.027309096
keimoes1_bromfeldii.insularis_XV/2349_2352_b18,0.203088297,0.098371533,19.52765727,0.213717573,0.101811767,0.19245902,0.095072327,0.133696712,0.064416359
keimoes1_bromfeldii.insularis_XV/2349_2352_b2,0.295773629,0.065639563,115.7749593,0.303370056,0.066908887,0.288177202,0.064610026,0.227425835,0.050752809
keimoes1_bromfeldii.insularis_XV/2349_2352_b3,0.192909347,0.06315228,71.80385373,0.210130473,0.06530659,0.17568822,0.061383763,0.115028646,0.045608943
keimoes1_bromfeldii.insularis_XV/2349_2352_b4,0.077708138,0.014091705,7.666740118,0.089805637,0.014885915,0.06561064,0.013508991,0.041612682,0.009198078
keimoes1_bromfeldii.insularis_XV/2349_2352_b5,0.310253208,0.050652139,8.091218915,0.321036281,0.051623006,0.299470135,0.049835542,0.229430737,0.040359388
keimoes1_bromfeldii.insularis_XV/2349_2352_b6,0.176870678,0.027874918,11.4282753,0.19006348,0.029130861,0.163677877,0.026952845,0.105591044,0.020458931
keimoes1_bromfeldii.insularis_XV/2349_2352_b7,0.313360068,0.073680674,10.25606078,0.331682298,0.074374854,0.295037839,0.073285133,0.200208405,0.05908483
keimoes1_bromfeldii.insularis_XV/2349_2352_b8,0.329549736,0.114275574,635.6161832,0.341394112,0.117742643,0.317705361,0.111061892,0.240867707,0.084191844
keimoes1_bromfeldii.insularis_XV/2349_2352_b9,0.22490983,0.059561387,13.30741029,0.23809054,0.060600568,0.21172912,0.058794729,0.147019103,0.044300412
keimoes1_bromfeldii.insularis_XV/2349_2352_c1,0.106583364,0.031095141,10.77686361,0.119166012,0.033514996,0.094000716,0.028883804,0.05981223,0.017911161
keimoes1_bromfeldii.insularis_XV/2349_2352_c2,0.090382463,0.028927013,13.05598823,0.101354063,0.030432979,0.079410863,0.027729396,0.053261789,0.019838672
keimoes1_bromfeldii.insularis_XV/2349_2352_c3,0.114453584,0.034349776,8.967930891,0.128637537,0.036297744,0.10026963,0.032659083,0.064210023,0.022771764
keimoes1_bromfeldii.insularis_XV/2349_2352_c4,0.05716075,0.022125954,14.66574244,0.064896018,0.023540521,0.049425482,0.020873927,0.032438219,0.012870981
keimoes1_bromfeldii.insularis_XV/2349_2352_c5,0.12623619,0.049536771,14.12208305,0.141284146,0.051625121,0.111188234,0.047903042,0.068909246,0.034774387
keimoes1_bromfeldii.insularis_XV/2349_2352_p1,0.221624,0.071807483,865.5938976,0.229968998,0.073296023,0.213279002,0.070494027,0.158479125,0.053453509
keimoes1_bromfeldii.insularis_XV/2349_2352_p2,0.221624,0.071807483,865.5938976,0.229968998,0.073296023,0.213279002,0.070494027,0.158479125,0.053453509
keimoes1_bromfeldii.insularis_XV/2349_2352_p3,0.221624,0.071807483,865.5938976,0.229968998,0.073296023,0.213279002,0.070494027,0.158479125,0.053453509
keimoes1_bromfeldii.insularis_XV/2349_2352_p4,0.280263909,0.053126659,352.9965676,0.297247848,0.054779336,0.263279971,0.051694538,0.182333044,0.038803369
keimoes1_bromfeldii.insularis_XV/2349_2352_p5,0.280263909,0.053126659,352.9965676,0.297247848,0.054779336,0.263279971,0.051694538,0.182333044,0.038803369
keimoes1_bromfeldii.insularis_XV/2355_2358_a1,0.078308557,0.060432585,58.68432266,0.087246577,0.06597794,0.069370537,0.054958738,0.034129962,0.025579323
keimoes1_bromfeldii.insularis_XV/2355_2358_a2,0.134865794,0.064743363,32.75918581,0.149641267,0.069201706,0.120090321,0.060547386,0.065121162,0.035093043
keimoes1_bromfeldii.insularis_XV/2355_2358_a3,0.138424219,0.051741004,59.23497984,0.153901061,0.056463981,0.122947376,0.047255019,0.060936825,0.024293311
